Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,Latitude,Longitude,Altitude,UTM_easting,UTM_northing,Zone,Letter
1664736023.6400704,7,69600,0,GPS1_Frame,42.3396205,-71.09045133333333,49.2,327793.80547183205,4689601.3853732515,19,T
1664736024.644353,8,69700,0,GPS1_Frame,42.33961916666667,-71.09045416666666,50.5,327793.5684191624,4689601.243055058,19,T
1664736025.6352081,9,69800,0,GPS1_Frame,42.339620333333336,-71.09045416666666,51.3,327793.57160409796,4689601.372604559,19,T
1664736026.6422698,10,69900,0,GPS1_Frame,42.3396145,-71.09045516666667,51.7,327793.4732984422,4689600.726882365,19,T
1664736027.6445186,11,70000,0,GPS1_Frame,42.33961133333334,-71.09045466666666,51.6,327793.5058441057,4689600.37423535,19,T
1664736028.6440315,12,70100,0,GPS1_Frame,42.33961083333334,-71.0904545,51.7,327793.51820929436,4689600.318376582,19,T
1664736029.6430135,13,70200,0,GPS1_Frame,42.33960999999999,-71.0904555,52.2,327793.43355336,4689600.227866535,19,T
1664736030.6423552,14,70300,0,GPS1_Frame,42.339610166666674,-71.09045666666665,52.5,327793.33789720736,4689600.248736473,19,T
1664736031.6424174,15,70400,0,GPS1_Frame,42.33960816666666,-71.090459,52.7,327793.1402150127,4689600.031377348,19,T
1664736032.6374013,16,70500,0,GPS1_Frame,42.339609,-71.09046199999999,53.3,327792.895347022,4689600.129988658,19,T
1664736033.6420655,17,70600,0,GPS1_Frame,42.339606,-71.0904655,54.4,327792.59882370254,4689599.803949993,19,T
1664736034.6383684,18,70700,0,GPS1_Frame,42.339612,-71.09046616666666,55.2,327792.56028280454,4689600.471554785,19,T
1664736035.642056,19,70800,0,GPS1_Frame,42.33961516666667,-71.090467,56.4,327792.5002768625,4689600.824876915,19,T
1664736036.6355991,20,70900,0,GPS1_Frame,42.33961383333334,-71.09046666666667,56.9,327792.52409723937,4689600.676145234,19,T
1664736037.6427524,21,71000,0,GPS1_Frame,42.33961983333334,-71.09046383333333,57.5,327792.773889753,4689601.336661399,19,T
1664736038.6391351,22,71100,0,GPS1_Frame,42.339624500000006,-71.09046400000001,57.6,327792.7728993923,4689601.855196959,19,T
1664736039.643046,23,71200,0,GPS1_Frame,42.339621,-71.09046883333333,58.1,327792.36516986217,4689601.476337517,19,T
1664736040.6418598,24,71300,0,GPS1_Frame,42.33962833333333,-71.09046433333333,58.1,327792.75590391224,4689602.281534712,19,T
1664736041.6417437,25,71400,0,GPS1_Frame,42.33963133333334,-71.09046266666665,58.5,327792.90139537986,4689602.611286469,19,T
1664736042.6406348,26,71500,0,GPS1_Frame,42.339637833333335,-71.09045666666665,58.9,327793.4134257752,4689603.320910361,19,T
1664736043.6403155,27,71600,0,GPS1_Frame,42.33963983333333,-71.09044683333333,58.8,327794.2289649475,4689603.523079681,19,T
1664736044.6420093,28,71700,0,GPS1_Frame,42.339640666666675,-71.090439,58.7,327794.8765572728,4689603.599750186,19,T
1664736045.6437387,29,71800,0,GPS1_Frame,42.339640499999994,-71.09043799999999,59.0,327794.95848322776,4689603.579217817,19,T
1664736046.6430058,30,71900,0,GPS1_Frame,42.339650666666664,-71.0904285,59.3,327795.76885628793,4689604.688908921,19,T
1664736047.6425264,31,72000,0,GPS1_Frame,42.3396585,-71.09041866666666,59.7,327796.60031964176,4689605.538826018,19,T
1664736048.6384196,32,72100,0,GPS1_Frame,42.339669666666666,-71.09040933333334,59.6,327797.3996919684,4689606.759897276,19,T
1664736049.642937,33,72200,0,GPS1_Frame,42.339668333333336,-71.0904005,59.7,327798.12375011854,4689606.5939508695,19,T
1664736050.6408172,34,72300,0,GPS1_Frame,42.33966733333333,-71.090396,59.4,327798.4917343233,4689606.4737947825,19,T
1664736051.6421545,35,72400,0,GPS1_Frame,42.33966516666666,-71.09038766666666,59.4,327799.1723271862,4689606.216325756,19,T
1664736052.641353,36,72500,0,GPS1_Frame,42.339667999999996,-71.09038116666667,59.2,327799.7155376766,4689606.517781888,19,T
