Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,Latitude,Longitude,Altitude,UTM_easting,UTM_northing,Zone,Letter
1664734734.6490002,17,71380,0,GPS1_Frame,42.34012633333334,-71.08848583333334,35.8,327957.10485812,4689653.5754603315,19,T
1664734735.6477406,18,71480,0,GPS1_Frame,42.34012766666667,-71.08848549999999,35.4,327957.1359547491,4689653.72284243,19,T
1664734736.647853,19,71580,0,GPS1_Frame,42.34012966666666,-71.08848366666666,34.7,327957.2924400835,4689653.941217703,19,T
1664734737.64807,20,71680,0,GPS1_Frame,42.34013100000001,-71.08848316666668,34.3,327957.33726675605,4689654.088262569,19,T
1664734738.6459932,21,71780,0,GPS1_Frame,42.34013433333333,-71.08847933333332,33.2,327957.66214917524,4689654.450647615,19,T
1664734739.6490593,22,65940,0,GPS1_Frame,42.34013783333333,-71.088475,32.1,327958.028676262,4689654.830528047,19,T
1664734740.6473374,23,66040,0,GPS1_Frame,42.340140500000004,-71.08847250000001,31.3,327958.24189998547,4689655.121582695,19,T
1664734741.6496258,24,66140,0,GPS1_Frame,42.340142,-71.08847166666666,30.7,327958.3146412915,4689655.2864601705,19,T
1664734742.6461391,25,66240,0,GPS1_Frame,42.340144333333335,-71.08846933333332,29.9,327958.5132258191,4689655.5408379175,19,T
1664734743.645498,26,66340,0,GPS1_Frame,42.34014633333333,-71.08846733333333,29.2,327958.68344111793,4689655.758875991,19,T
1664734744.6469514,27,66440,0,GPS1_Frame,42.34014650000001,-71.08846833333334,29.0,327958.601515407,4689655.779406453,19,T
1664734745.6480474,28,66540,0,GPS1_Frame,42.340148500000005,-71.08846650000001,28.4,327958.75800065324,4689655.997781758,19,T
1664734746.6458437,29,66640,0,GPS1_Frame,42.34014883333332,-71.0884675,28.1,327958.6765295117,4689656.036819284,19,T
1664734747.6464481,30,66740,0,GPS1_Frame,42.340150166666675,-71.08846666666666,27.7,327958.74881623295,4689656.1831896985,19,T
1664734748.6446946,31,66840,0,GPS1_Frame,42.34015066666666,-71.0884675,27.4,327958.6815297003,4689656.240397065,19,T
1664734749.648164,32,66940,0,GPS1_Frame,42.34015216666667,-71.08846666666666,26.9,327958.7542709821,4689656.405274548,19,T
1664734750.6469114,33,67040,0,GPS1_Frame,42.34015266666667,-71.08846733333333,26.7,327958.70071449527,4689656.462144685,19,T
1664734751.6468892,34,67140,0,GPS1_Frame,42.34015266666667,-71.0884685,26.6,327958.60460418626,4689656.464505305,19,T
1664734752.6472719,35,67240,0,GPS1_Frame,42.340152999999994,-71.08846866666666,26.3,327958.5917832685,4689656.501856678,19,T
1664734753.6477976,36,67340,0,GPS1_Frame,42.340154166666665,-71.08846783333334,25.9,327958.66361542477,4689656.629720018,19,T
